angry0,angry1,angry2,angry3,box0,box1,box2,box3,disgust0,disgust1,disgust2,disgust3,fear0,fear1,fear2,fear3,happy0,happy1,happy2,happy3,neutral0,neutral1,neutral2,neutral3,sad0,sad1,sad2,sad3,surprise0,surprise1,surprise2,surprise3
0.0,,,,"[231, 379, 420, 506]",,,,0.0,,,,0.01,,,,0.01,,,,0.94,,,,0.04,,,,0.0,,,
0.0,,,,"[223, 362, 430, 520]",,,,0.0,,,,0.01,,,,0.02,,,,0.9,,,,0.07,,,,0.0,,,
0.0,0.03,,,"[227, 373, 422, 515]","[633, 765, 24, 27]",,,0.0,0.0,,,0.01,0.04,,,0.05,0.14,,,0.89,0.02,,,0.04,0.76,,,0.0,0.01,,
0.0,0.09,,,"[219, 391, 422, 509]","[635, 765, 23, 28]",,,0.0,0.0,,,0.02,0.05,,,0.11,0.14,,,0.83,0.02,,,0.03,0.68,,,0.01,0.02,,
0.01,,,,"[203, 405, 443, 530]",,,,0.0,,,,0.02,,,,0.16,,,,0.78,,,,0.04,,,,0.0,,,
0.01,,,,"[196, 419, 446, 530]",,,,0.0,,,,0.03,,,,0.2,,,,0.71,,,,0.06,,,,0.0,,,
0.01,,,,"[195, 443, 439, 524]",,,,0.0,,,,0.02,,,,0.34,,,,0.58,,,,0.03,,,,0.01,,,
0.01,,,,"[191, 437, 450, 538]",,,,0.0,,,,0.02,,,,0.12,,,,0.79,,,,0.06,,,,0.0,,,
0.01,0.25,,,"[190, 433, 434, 526]","[630, 761, 33, 38]",,,0.0,0.0,,,0.0,0.05,,,0.33,0.11,,,0.64,0.02,,,0.01,0.56,,,0.01,0.0,,
0.0,0.15,,,"[194, 448, 424, 511]","[630, 761, 32, 37]",,,0.0,0.0,,,0.0,0.06,,,0.51,0.22,,,0.47,0.02,,,0.01,0.55,,,0.0,0.0,,
0.0,0.31,,,"[177, 431, 431, 521]","[630, 761, 32, 38]",,,0.0,0.0,,,0.0,0.1,,,0.69,0.14,,,0.29,0.02,,,0.01,0.43,,,0.0,0.0,,
0.0,0.18,,,"[173, 421, 423, 517]","[630, 762, 34, 38]",,,0.0,0.0,,,0.0,0.11,,,0.87,0.16,,,0.12,0.03,,,0.01,0.51,,,0.0,0.0,,
0.0,0.19,,,"[162, 436, 416, 506]","[631, 762, 33, 38]",,,0.0,0.0,,,0.0,0.11,,,0.95,0.15,,,0.05,0.02,,,0.0,0.52,,,0.0,0.0,,
0.0,0.24,,,"[147, 426, 427, 511]","[632, 762, 34, 39]",,,0.0,0.0,,,0.0,0.1,,,0.94,0.12,,,0.05,0.03,,,0.01,0.51,,,0.0,0.0,,
0.0,0.28,,,"[142, 418, 430, 516]","[631, 762, 35, 41]",,,0.0,0.0,,,0.0,0.08,,,0.92,0.09,,,0.07,0.01,,,0.01,0.53,,,0.0,0.0,,
0.0,0.07,,,"[138, 414, 425, 503]","[639, 764, 27, 29]",,,0.0,0.0,,,0.0,0.05,,,0.93,0.09,,,0.05,0.02,,,0.01,0.77,,,0.0,0.0,,
0.0,0.29,,,"[141, 413, 428, 512]","[636, 762, 32, 37]",,,0.0,0.0,,,0.0,0.07,,,0.99,0.08,,,0.01,0.01,,,0.0,0.55,,,0.0,0.0,,
0.0,0.3,,,"[147, 423, 424, 505]","[636, 762, 34, 39]",,,0.0,0.0,,,0.0,0.08,,,1.0,0.22,,,0.0,0.02,,,0.0,0.38,,,0.0,0.0,,
0.0,0.12,,,"[153, 423, 431, 513]","[642, 765, 29, 30]",,,0.0,0.0,,,0.0,0.04,,,1.0,0.13,,,0.0,0.01,,,0.0,0.69,,,0.0,0.0,,
0.0,0.37,0.21,,"[164, 423, 429, 515]","[637, 763, 33, 38]","[153, 741, 32, 39]",,0.0,0.0,0.0,,0.0,0.09,0.14,,1.0,0.09,0.02,,0.0,0.01,0.02,,0.0,0.43,0.5,,0.0,0.0,0.1,
0.0,0.26,0.29,0.16,"[175, 419, 435, 513]","[638, 763, 34, 39]","[154, 742, 32, 38]","[630, 1303, 221, 268]",0.0,0.0,0.0,0.0,0.0,0.09,0.14,0.01,1.0,0.14,0.02,0.3,0.0,0.02,0.02,0.06,0.0,0.49,0.47,0.46,0.0,0.0,0.06,0.0
0.0,0.19,0.44,,"[183, 420, 429, 501]","[642, 765, 32, 33]","[156, 742, 30, 37]",,0.0,0.0,0.01,,0.0,0.03,0.09,,1.0,0.09,0.02,,0.0,0.01,0.03,,0.0,0.67,0.36,,0.0,0.0,0.05,
0.0,0.21,0.55,,"[195, 410, 445, 525]","[642, 763, 34, 39]","[156, 742, 32, 38]",,0.0,0.0,0.0,,0.0,0.04,0.09,,0.99,0.15,0.01,,0.01,0.02,0.03,,0.0,0.57,0.28,,0.0,0.0,0.04,
0.0,0.49,0.1,,"[215, 415, 435, 512]","[157, 743, 32, 37]","[649, 764, 29, 35]",,0.0,0.0,0.0,,0.0,0.09,0.02,,1.0,0.01,0.06,,0.0,0.05,0.01,,0.0,0.3,0.81,,0.0,0.05,0.0,
0.0,0.47,,,"[225, 414, 431, 515]","[158, 742, 34, 39]",,,0.0,0.0,,,0.0,0.09,,,0.99,0.01,,,0.0,0.03,,,0.0,0.33,,,0.0,0.06,,
0.0,0.67,,,"[241, 415, 428, 522]","[159, 743, 32, 38]",,,0.0,0.0,,,0.0,0.06,,,1.0,0.01,,,0.0,0.02,,,0.0,0.21,,,0.0,0.03,,
0.0,0.57,0.04,,"[240, 411, 434, 527]","[161, 743, 32, 38]","[717, 1170, 40, 57]",,0.0,0.0,0.0,,0.0,0.07,0.09,,1.0,0.01,0.2,,0.0,0.04,0.08,,0.0,0.25,0.58,,0.0,0.05,0.01,
0.0,0.63,0.04,,"[250, 421, 430, 526]","[163, 743, 32, 38]","[733, 1185, 31, 42]",,0.0,0.0,0.0,,0.0,0.06,0.11,,1.0,0.01,0.25,,0.0,0.04,0.17,,0.0,0.21,0.43,,0.0,0.05,0.01,
0.0,0.47,,,"[263, 436, 437, 522]","[163, 744, 31, 38]",,,0.0,0.0,,,0.0,0.09,,,1.0,0.01,,,0.0,0.04,,,0.0,0.34,,,0.0,0.05,,
